iso_time,elapsed_s,imu_ready,imu_pitch_deg,imu_roll_deg,imu_pitch_rate_deg_s,imu_roll_rate_deg_s,mocap_valid,mocap_x_error_m,mocap_y_error_m,mocap_z_error_m,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,mocap_yaw_error_deg,mocap_yaw_rate_deg_s
2026-04-14T16:13:32.194,0.028,1,0.01,0.00,-7.98,10.71,1,-0.0087,0.0555,0.2895,0.0000,0.0000,0.0000,3.07,0.32
2026-04-14T16:13:32.256,0.091,1,-0.05,0.03,-7.47,11.80,1,-0.0086,0.0555,0.2895,0.0000,0.0000,0.0000,3.00,0.85
2026-04-14T16:13:32.298,0.132,1,-0.15,-0.05,-7.29,10.09,1,-0.0086,0.0558,0.2891,0.0000,0.0000,0.0000,3.03,0.00
2026-04-14T16:13:32.362,0.197,1,-0.34,-0.17,-7.43,9.31,1,-0.0086,0.0558,0.2896,0.0000,0.0000,0.0000,3.91,-25.46
2026-04-14T16:13:32.411,0.246,1,-0.15,0.02,-8.04,13.92,1,-0.0078,0.0561,0.2897,0.0000,0.0000,0.0000,5.37,-29.98
2026-04-14T16:13:32.460,0.294,1,-0.12,0.01,-10.10,14.03,1,-0.0076,0.0558,0.2899,0.0000,0.0000,0.0000,6.38,-17.53
2026-04-14T16:13:32.507,0.341,1,-0.00,0.02,-6.86,11.54,1,-0.0074,0.0558,0.2900,0.0000,0.0000,0.0000,6.89,-12.01
2026-04-14T16:13:32.572,0.406,1,-0.24,-0.03,-6.83,9.10,1,-0.0065,0.0555,0.2900,0.0000,0.0000,0.0000,10.06,-62.01
2026-04-14T16:13:32.668,0.502,1,2.77,-1.00,62.09,26.06,1,-0.0048,0.0547,0.2897,-0.0139,0.0000,0.0000,14.78,-57.66
2026-04-14T16:13:32.717,0.551,1,3.67,1.74,-4.77,76.76,1,-0.0019,0.0535,0.2884,-0.0289,0.0125,0.0000,17.61,-63.08
2026-04-14T16:13:32.822,0.656,1,4.00,4.19,29.87,-60.32,1,0.0086,0.0519,0.2832,-0.0698,0.0140,0.0288,23.43,-56.80
2026-04-14T16:13:32.885,0.719,1,3.93,-1.92,1.12,-109.47,1,0.0255,0.0515,0.2746,-0.1481,0.0000,0.0784,27.55,-45.13
2026-04-14T16:13:32.950,0.784,1,2.45,-4.21,-44.49,-88.92,1,0.0595,0.0441,0.2690,0.0000,0.0000,0.0000,30.35,0.00
2026-04-14T16:13:32.993,0.827,1,0.48,-9.08,-29.55,-73.18,1,0.0703,0.0416,0.2689,-0.0891,0.0205,0.0000,31.77,-32.10
2026-04-14T16:13:33.043,0.877,1,-1.26,-7.82,-30.28,58.35,1,0.0826,0.0394,0.2702,-0.1434,0.0264,0.0000,33.08,-29.06
2026-04-14T16:13:33.088,0.922,1,-2.73,3.01,57.06,115.17,1,0.1019,0.0350,0.2845,-0.2268,0.0438,-0.1020,35.53,-63.33
2026-04-14T16:13:33.143,0.977,1,3.14,3.04,89.76,16.79,1,0.1248,0.0313,0.2962,-0.2882,0.0487,-0.1246,38.20,-43.08
2026-04-14T16:13:33.195,1.029,1,3.86,0.37,-30.19,-73.52,1,0.1468,0.0249,0.2997,-0.3213,0.0674,-0.0920,40.27,-57.60
2026-04-14T16:13:33.250,1.084,1,-1.40,-1.04,-194.42,26.65,1,0.1734,0.0134,0.3107,-0.3829,0.1194,-0.1370,42.80,-51.11
2026-04-14T16:13:33.293,1.128,1,-3.16,2.21,-4.98,74.01,1,0.1971,0.0065,0.3182,-0.4211,0.1243,-0.1421,45.35,-55.74
2026-04-14T16:13:33.343,1.178,1,-1.51,3.16,31.12,-20.05,1,0.2348,-0.0032,0.3165,-0.0364,0.0122,0.0000,48.28,-75.92
2026-04-14T16:13:33.404,1.238,1,-0.10,-2.48,-141.14,-63.97,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:13:33.454,1.288,1,0.38,-0.59,-2.80,15.71,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:13:33.496,1.330,1,2.23,1.51,-11.72,-1.18,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:13:33.547,1.381,1,4.02,3.55,-10.71,10.33,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:13:33.598,1.432,1,5.46,5.23,-5.69,14.30,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:13:33.647,1.481,1,5.31,5.47,-6.65,10.61,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:13:33.697,1.531,1,4.53,4.72,-8.72,10.65,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:13:33.750,1.584,1,3.79,4.02,-7.99,10.62,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:13:33.793,1.627,1,3.34,3.57,-8.16,10.77,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
