iso_time,elapsed_s,backend_loop_hz,tracking_loop_hz,frames_processed,valid_pose_frames,pose_success_rate,full_marker_detection_rate,cam1_full_detection_rate,cam2_full_detection_rate,cam1_leds,cam2_leds,spatial_data_valid,mapping_error_px,model_fit_error_m,scale_factor,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,yaw_deg,pitch_deg,roll_deg,serial_connected,serial_send_enabled,serial_send_ok,serial_payload_seq,serial_payload_size_bytes,bridge_serial_frames_rx,bridge_espnow_tx_attempts,bridge_espnow_tx_ok,bridge_espnow_tx_fail,bridge_oversize_drops,bridge_tx_rate_hz,bridge_last_tx_seq,bridge_last_tx_latency_us,controller_rx_packets,controller_rx_missing_packets,controller_rx_duplicate_packets,controller_rx_out_of_order_packets,controller_last_rx_seq,controller_loop_hz,controller_control_hz,controller_command_age_ms,controller_apply_latency_us,controller_motor_imbalance,motor_1_output,motor_2_output,motor_3_output,motor_4_output
2026-04-20T16:01:32.310,0.018,57.23,58.08,7672,1258,0.16397,0.16397,0.16397,0.17362,3,3,1,21.78234,0.00379,1.04809,0.0228,-0.1150,0.0868,0.0000,0.0000,0.0000,-1.88,-7.70,179.47,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.327,0.035,64.09,60.26,7673,1259,0.16408,0.16408,0.16408,0.17373,3,3,1,21.79619,0.00379,1.04913,0.0228,-0.1150,0.0868,0.0000,0.0000,0.0000,-1.87,-7.91,179.53,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.342,0.049,58.78,58.82,7674,1260,0.16419,0.16419,0.16419,0.17383,3,3,1,21.82704,0.00382,1.04696,0.0229,-0.1150,0.0868,0.0000,0.0000,0.0000,-1.91,-7.74,179.53,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.357,0.065,63.55,61.56,7675,1261,0.16430,0.16430,0.16430,0.17394,3,3,1,21.80431,0.00382,1.04692,0.0228,-0.1150,0.0867,0.0000,0.0000,0.0000,-1.92,-7.73,179.59,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.377,0.084,64.78,60.42,7676,1262,0.16441,0.16441,0.16441,0.17405,3,3,1,21.78091,0.00376,1.04960,0.0227,-0.1150,0.0867,0.0000,0.0000,0.0000,-1.91,-7.97,179.63,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.390,0.098,51.00,62.00,7677,1263,0.16452,0.16452,0.16452,0.17416,3,3,1,21.74311,0.00355,1.04816,0.0229,-0.1148,0.0868,0.0000,0.0000,0.0000,-1.82,-7.76,179.55,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.407,0.115,72.34,59.27,7678,1264,0.16463,0.16463,0.16463,0.17426,3,3,1,21.73794,0.00374,1.04642,0.0228,-0.1148,0.0867,0.0000,0.0000,0.0000,-1.88,-7.97,179.58,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.428,0.136,59.00,56.65,7679,1265,0.16473,0.16473,0.16473,0.17437,3,3,1,21.82704,0.00382,1.04696,0.0229,-0.1149,0.0868,0.0000,0.0000,0.0000,-1.91,-7.77,179.55,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.443,0.151,48.33,60.91,7680,1266,0.16484,0.16484,0.16484,0.17448,3,3,1,21.76535,0.00365,1.04791,0.0228,-0.1150,0.0868,0.0000,0.0000,0.0000,-1.87,-7.93,179.61,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.460,0.167,65.62,59.35,7681,1267,0.16495,0.16495,0.16495,0.17459,3,3,1,21.80373,0.00376,1.04964,0.0227,-0.1150,0.0868,0.0000,0.0000,0.0000,-1.89,-7.99,179.57,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.477,0.184,61.82,61.37,7682,1268,0.16506,0.16506,0.16506,0.17469,3,3,1,21.79307,0.00381,1.05106,0.0227,-0.1149,0.0868,0.0000,0.0000,0.0000,-1.90,-8.03,179.54,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.493,0.200,62.67,59.20,7683,1269,0.16517,0.16517,0.16517,0.17480,3,3,1,21.86278,0.00384,1.04994,0.0228,-0.1149,0.0868,0.0000,0.0000,0.0000,-1.87,-7.84,179.43,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.509,0.217,56.18,60.11,7684,1270,0.16528,0.16528,0.16528,0.17491,3,3,1,21.77216,0.00376,1.04938,0.0226,-0.1148,0.0867,0.0000,0.0000,0.0000,-1.85,-8.04,179.41,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.524,0.232,62.83,64.27,7685,1271,0.16539,0.16539,0.16539,0.17502,3,3,1,21.81321,0.00374,1.05063,0.0227,-0.1150,0.0868,0.0000,0.0000,0.0000,-1.86,-8.03,179.45,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.542,0.249,66.02,56.26,7686,1272,0.16550,0.16550,0.16550,0.17512,3,3,1,21.80847,0.00352,1.04529,0.0229,-0.1149,0.0868,0.0000,0.0000,0.0000,-1.79,-7.46,179.46,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.560,0.268,58.43,60.72,7687,1273,0.16560,0.16560,0.16560,0.17523,3,3,1,21.80890,0.00369,1.04929,0.0228,-0.1151,0.0869,0.0000,0.0000,0.0000,-1.84,-7.69,179.53,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.574,0.282,57.48,59.35,7688,1274,0.16571,0.16571,0.16571,0.17534,3,3,1,21.79049,0.00347,1.04699,0.0229,-0.1150,0.0869,0.0000,0.0000,0.0000,-1.79,-7.48,179.53,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T16:01:32.593,0.300,64.71,63.68,7689,1275,0.16582,0.16582,0.16582,0.17545,3,3,1,21.85317,0.00388,1.05131,0.0228,-0.1149,0.0868,0.0000,0.0000,0.0000,-1.82,-7.58,179.41,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
