iso_time,elapsed_s,imu_ready,imu_pitch_deg,imu_roll_deg,imu_pitch_rate_deg_s,imu_roll_rate_deg_s,mocap_valid,mocap_x_error_m,mocap_y_error_m,mocap_z_error_m,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,mocap_yaw_error_deg,mocap_yaw_rate_deg_s,backend_loop_hz,tracking_loop_hz,frames_processed,valid_pose_frames,pose_success_rate,full_marker_detection_rate,cam1_full_detection_rate,cam2_full_detection_rate,cam1_leds,cam2_leds,spatial_data_valid,mapping_error_px,model_fit_error_m,scale_factor,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,yaw_deg,pitch_deg,roll_deg,control_active,control_armed,target_x_m,target_y_m,target_z_m,target_yaw_deg,limit_hover_throttle,limit_min_throttle,limit_max_throttle,limit_max_tilt_deg,limit_max_yaw_rate_deg,pid_xyPos_kp,pid_xyPos_ki,pid_xyPos_kd,pid_zPos_kp,pid_zPos_ki,pid_zPos_kd,pid_yawPos_kp,pid_yawPos_ki,pid_yawPos_kd,pid_xyVel_kp,pid_xyVel_ki,pid_xyVel_kd,pid_zVel_kp,pid_zVel_ki,pid_zVel_kd,pid_roll_kp,pid_roll_ki,pid_roll_kd,pid_pitch_kp,pid_pitch_ki,pid_pitch_kd,pid_yawRate_kp,pid_yawRate_ki,pid_yawRate_kd,serial_connected,serial_send_enabled,serial_send_ok,serial_payload_seq,serial_payload_size_bytes,bridge_serial_frames_rx,bridge_espnow_tx_attempts,bridge_espnow_tx_ok,bridge_espnow_tx_fail,bridge_oversize_drops,bridge_tx_rate_hz,bridge_last_tx_seq,bridge_last_tx_latency_us,controller_rx_packets,controller_rx_missing_packets,controller_rx_duplicate_packets,controller_rx_out_of_order_packets,controller_last_rx_seq,controller_loop_hz,controller_control_hz,controller_command_age_ms,controller_apply_latency_us,controller_motor_imbalance,motor_1_output,motor_2_output,motor_3_output,motor_4_output
2026-04-27T17:29:16.456,0.016,1,0.19,-0.70,0.00,0.00,1,-0.0262,0.0696,0.2916,0.0000,0.0000,0.0000,14.56,1.82,53.50,61.02,1,1,1.00000,1.00000,1.00000,1.00000,3,3,1,24.84928,0.00284,1.05867,0.0262,-0.0696,0.0084,0.0000,0.0000,0.0000,-14.56,-9.87,0.77,1,1,0.0000,0.0000,0.3000,0.00,0.8300,0.4200,1.0000,8.00,180.00,1.250000,0.000000,0.000000,1.500000,0.000000,0.000000,1.200000,0.000000,0.000000,1.150000,0.000000,0.000000,1.350000,0.060000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,0,1,224,349107,349107,197905,151202,0,0.00,20902,4039,30485,0,1,18359,20902,500.00,0.00,13992,1542,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-27T17:29:16.471,0.030,1,0.19,-0.70,0.00,0.00,1,-0.0264,0.0698,0.2916,0.0000,0.0000,0.0000,14.62,-3.76,64.51,59.07,2,2,1.00000,1.00000,1.00000,1.00000,3,3,1,24.85796,0.00302,1.06222,0.0264,-0.0698,0.0084,0.0000,0.0000,0.0000,-14.62,-10.12,0.70,1,1,0.0000,0.0000,0.3000,0.00,0.8300,0.4200,1.0000,8.00,180.00,1.250000,0.000000,0.000000,1.500000,0.000000,0.000000,1.200000,0.000000,0.000000,1.150000,0.000000,0.000000,1.350000,0.060000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,0,2,224,349107,349107,197905,151202,0,0.00,20902,4039,30485,0,1,18359,20902,500.00,0.00,13992,1542,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-27T17:29:16.488,0.048,1,0.19,-0.70,0.00,0.00,1,-0.0262,0.0697,0.2914,0.0000,0.0000,0.0000,14.56,3.46,66.93,59.88,3,3,1.00000,1.00000,1.00000,1.00000,3,3,1,24.83471,0.00291,1.06031,0.0262,-0.0697,0.0086,0.0000,0.0000,0.0000,-14.56,-9.91,0.72,1,1,0.0000,0.0000,0.3000,0.00,0.8300,0.4200,1.0000,8.00,180.00,1.250000,0.000000,0.000000,1.500000,0.000000,0.000000,1.200000,0.000000,0.000000,1.150000,0.000000,0.000000,1.350000,0.060000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,0,3,224,349107,349107,197905,151202,0,0.00,20902,4039,30485,0,1,18359,20902,500.00,0.00,13992,1542,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-27T17:29:16.506,0.065,1,0.19,-0.70,0.00,0.00,1,-0.0265,0.0697,0.2916,0.0101,0.0000,0.0000,14.62,-3.60,57.74,61.39,4,4,1.00000,1.00000,1.00000,1.00000,3,3,1,24.86648,0.00306,1.06193,0.0265,-0.0697,0.0084,0.0101,0.0000,0.0000,-14.62,-10.20,0.72,1,1,0.0000,0.0000,0.3000,0.00,0.8300,0.4200,1.0000,8.00,180.00,1.250000,0.000000,0.000000,1.500000,0.000000,0.000000,1.200000,0.000000,0.000000,1.150000,0.000000,0.000000,1.350000,0.060000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,0,4,227,349107,349107,197905,151202,0,0.00,20902,4039,30485,0,1,18359,20902,500.00,0.00,13992,1542,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-27T17:29:16.523,0.082,1,0.19,-0.70,0.00,0.00,1,-0.0265,0.0697,0.2916,0.0000,0.0000,0.0000,14.65,-1.78,56.58,59.74,5,5,1.00000,1.00000,1.00000,1.00000,3,3,1,24.84138,0.00302,1.06043,0.0265,-0.0697,0.0084,0.0000,0.0000,0.0000,-14.65,-10.30,0.90,1,1,0.0000,0.0000,0.3000,0.00,0.8300,0.4200,1.0000,8.00,180.00,1.250000,0.000000,0.000000,1.500000,0.000000,0.000000,1.200000,0.000000,0.000000,1.150000,0.000000,0.000000,1.350000,0.060000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,0,5,223,349107,349107,197905,151202,0,0.00,20902,4039,30485,0,1,18359,20902,500.00,0.00,13992,1542,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-27T17:29:16.540,0.099,1,0.19,-0.70,0.00,0.00,1,-0.0263,0.0697,0.2916,0.0000,0.0000,0.0000,14.61,2.33,59.46,62.59,6,6,1.00000,1.00000,1.00000,1.00000,3,3,1,24.81378,0.00289,1.06138,0.0263,-0.0697,0.0084,0.0000,0.0000,0.0000,-14.61,-10.10,0.84,1,1,0.0000,0.0000,0.3000,0.00,0.8300,0.4200,1.0000,8.00,180.00,1.250000,0.000000,0.000000,1.500000,0.000000,0.000000,1.200000,0.000000,0.000000,1.150000,0.000000,0.000000,1.350000,0.060000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,0,6,224,349107,349107,197905,151202,0,0.00,20902,4039,30485,0,1,18359,20902,500.00,0.00,13992,1542,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-27T17:29:16.555,0.115,1,0.19,-0.70,0.00,0.00,1,-0.0264,0.0698,0.2916,0.0000,0.0000,0.0000,14.59,1.23,55.04,58.99,7,7,1.00000,1.00000,1.00000,1.00000,3,3,1,24.86125,0.00293,1.05819,0.0264,-0.0698,0.0084,0.0000,0.0000,0.0000,-14.59,-10.09,0.73,1,1,0.0000,0.0000,0.3000,0.00,0.8300,0.4200,1.0000,8.00,180.00,1.250000,0.000000,0.000000,1.500000,0.000000,0.000000,1.200000,0.000000,0.000000,1.150000,0.000000,0.000000,1.350000,0.060000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,0,7,225,349107,349107,197905,151202,0,0.00,20902,4039,30485,0,1,18359,20902,500.00,0.00,13992,1542,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-27T17:29:16.573,0.132,1,0.19,-0.70,0.00,0.00,1,-0.0263,0.0697,0.2915,0.0000,0.0000,0.0000,14.56,1.77,65.56,58.70,8,8,1.00000,1.00000,1.00000,1.00000,3,3,1,24.82168,0.00292,1.05895,0.0263,-0.0697,0.0085,0.0000,0.0000,0.0000,-14.56,-9.98,0.82,1,1,0.0000,0.0000,0.3000,0.00,0.8300,0.4200,1.0000,8.00,180.00,1.250000,0.000000,0.000000,1.500000,0.000000,0.000000,1.200000,0.000000,0.000000,1.150000,0.000000,0.000000,1.350000,0.060000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,0,8,224,349107,349107,197905,151202,0,0.00,20902,4039,30485,0,1,18359,20902,500.00,0.00,13992,1542,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-27T17:29:16.585,0.145,1,0.19,-0.70,0.00,0.00,1,-0.0260,0.0697,0.2915,0.0000,0.0000,0.0000,14.51,3.74,56.48,65.97,9,9,1.00000,1.00000,1.00000,1.00000,3,3,1,24.81633,0.00272,1.06016,0.0260,-0.0697,0.0085,0.0000,0.0000,0.0000,-14.51,-9.78,0.77,1,1,0.0000,0.0000,0.3000,0.00,0.8300,0.4200,1.0000,8.00,180.00,1.250000,0.000000,0.000000,1.500000,0.000000,0.000000,1.200000,0.000000,0.000000,1.150000,0.000000,0.000000,1.350000,0.060000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,0,9,224,349107,349107,197905,151202,0,0.00,20902,4039,30485,0,1,18359,20902,500.00,0.00,13992,1542,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-27T17:29:16.607,0.167,1,0.19,-0.70,0.00,0.00,1,-0.0261,0.0697,0.2916,0.0000,0.0000,0.0000,14.54,-1.45,85.93,53.44,10,10,1.00000,1.00000,1.00000,1.00000,3,3,1,24.81899,0.00285,1.06229,0.0261,-0.0697,0.0084,0.0000,0.0000,0.0000,-14.54,-9.81,0.73,1,1,0.0000,0.0000,0.3000,0.00,0.8300,0.4200,1.0000,8.00,180.00,1.250000,0.000000,0.000000,1.500000,0.000000,0.000000,1.200000,0.000000,0.000000,1.150000,0.000000,0.000000,1.350000,0.060000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,0,10,224,349107,349107,197905,151202,0,0.00,20902,4039,30485,0,1,18359,20902,500.00,0.00,13992,1542,0.0000,0.5000,0.5000,0.0000,0.5000
